Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,lcredit,Age2,default
63,male,2,own,little,little,6836,60,business,8.829958044235482,3969,2
36,male,2,own,rich,moderate,1913,18,business,7.556427969440253,1296,1
27,male,2,own,little,little,4020,24,furniture/equipment,8.299037181613066,729,1
30,male,2,own,moderate,moderate,5866,18,car,8.676928249537397,900,1
57,male,1,rent,,,1264,12,business,7.142036574706803,3249,1
33,female,3,own,little,rich,1474,12,furniture/equipment,7.295735072749282,1089,1
25,male,1,own,little,moderate,4746,45,radio/TV,8.465057436995709,625,2
31,male,2,free,little,,6110,48,education,8.71768205216564,961,1
37,male,2,own,little,rich,2100,18,radio/TV,7.649692623711514,1369,2
37,male,2,own,little,rich,1225,10,domestic appliances,7.110696122978827,1369,1
24,male,2,own,little,moderate,458,9,radio/TV,6.126869184114185,576,1
30,male,3,own,quite rich,,2333,30,radio/TV,7.75491027202143,900,1
26,male,2,own,quite rich,moderate,1158,12,radio/TV,7.05444965813294,676,1
44,male,1,own,little,moderate,6204,18,repairs,8.73294952429643,1936,1
24,male,2,rent,moderate,little,6187,30,car,8.73020559553099,576,1
58,female,1,free,little,little,6143,48,car,8.723068501163928,3364,2
35,female,3,own,little,,1393,11,car,7.239214973779806,1225,1
39,male,2,own,quite rich,,2299,36,radio/TV,7.740229524763182,1521,1
23,female,0,rent,quite rich,little,1352,6,car,7.20934025660291,529,1
39,male,1,own,little,,7228,11,car,8.885717651712119,1521,1
28,female,2,own,moderate,,2073,12,radio/TV,7.636752112435779,784,1
29,male,1,own,,moderate,2333,24,furniture/equipment,7.75491027202143,841,1
30,male,3,own,little,moderate,5965,27,car,8.693664334532016,900,1
25,male,2,own,little,,1262,12,radio/TV,7.140453043101158,625,1
31,male,2,own,,,3378,18,car,8.125039097367745,961,1
57,male,2,free,little,moderate,2225,36,car,7.707512194600341,3249,2
26,male,1,own,,,783,6,car,6.663132695990803,676,1
52,male,3,own,,moderate,6468,12,radio/TV,8.774622220696997,2704,2
31,female,2,own,little,,9566,36,radio/TV,9.165970424240244,961,1
23,female,3,own,little,rich,1961,18,car,7.581209826196346,529,1
23,female,1,rent,little,little,6229,36,furniture/equipment,8.736971085254146,529,2
27,male,2,own,little,moderate,1391,9,business,7.237778191923443,729,1
50,male,2,own,,moderate,1537,15,radio/TV,7.337587743538596,2500,1
61,male,3,free,little,moderate,1953,36,business,7.577121930876679,3721,2
25,male,2,own,little,moderate,14421,48,business,9.57644075656207,625,2
26,female,2,own,little,,3181,24,radio/TV,8.064950891749143,676,1
48,male,2,own,,,5190,27,repairs,8.554488976159934,2304,1
29,female,2,own,little,,2171,12,radio/TV,7.682943169878292,841,1
22,male,2,own,rich,moderate,1007,12,car,6.914730892718563,484,1
37,male,2,free,little,,1819,36,education,7.506042178518122,1369,2
25,female,2,own,,,2394,36,radio/TV,7.780720886117918,625,1
30,female,2,own,little,,8133,36,car,9.003685138166775,900,1
46,male,1,rent,,,730,7,radio/TV,6.593044534142437,2116,1
51,male,3,free,little,little,1164,8,vacation/others,7.059617628291383,2601,1
41,female,1,own,little,moderate,5954,42,business,8.691818541575723,1681,1
40,male,3,own,,little,1977,36,education,7.589335823170617,1600,2
66,male,3,free,little,little,1526,12,car,7.330405211844402,4356,1
34,male,2,own,little,little,3965,42,radio/TV,8.285261134068948,1156,2
51,male,2,own,little,moderate,4771,11,radio/TV,8.470311205516108,2601,1
39,male,1,own,,,9436,54,car,9.152287440527566,1521,1
22,male,2,own,little,moderate,3832,30,furniture/equipment,8.251142139090751,484,1
44,female,2,own,,,5943,24,radio/TV,8.68996933536666,1936,2
47,male,2,own,quite rich,,1213,15,radio/TV,7.10085190894405,2209,1
24,female,1,rent,moderate,,1568,18,business,7.357556200910353,576,1
58,female,1,own,little,little,1755,24,vacation/others,7.470224135899966,3364,1
52,male,1,own,little,little,2315,10,radio/TV,7.747164966520335,2704,1
29,female,3,own,little,,1412,12,business,7.252762418053187,841,1
27,female,2,own,little,moderate,1295,18,furniture/equipment,7.166265974133638,729,1
47,male,2,free,moderate,moderate,12612,36,education,9.442404020664952,2209,2
30,male,3,own,moderate,little,2249,18,car,7.718240951959316,900,1
28,male,2,own,little,little,1108,12,repairs,7.010311867307229,784,2
56,male,2,own,little,,618,12,radio/TV,6.42648845745769,3136,1
54,male,2,own,little,little,1409,12,car,7.25063551189868,2916,1
33,female,1,own,,,797,12,radio/TV,6.680854678790215,1089,2
20,male,2,rent,,rich,3617,24,furniture/equipment,8.193400231952097,400,1
54,male,2,own,rich,moderate,1318,12,car,7.183870715062453,2916,1
58,male,2,rent,little,moderate,15945,54,business,9.676900579444158,3364,2
61,female,2,own,,,2012,12,education,7.60688453121963,3721,1
34,male,2,own,moderate,moderate,2622,18,business,7.871692664323645,1156,1
36,male,2,own,little,moderate,2337,36,radio/TV,7.756623334538858,1296,1
36,male,3,rent,,moderate,7057,20,car,8.86177531100083,1296,1
41,male,1,rent,moderate,,1469,24,car,7.292337176173877,1681,1
24,male,2,rent,little,moderate,2323,36,radio/TV,7.750614732770409,576,1
24,female,2,own,little,,932,6,radio/TV,6.837332814685591,576,1
35,male,2,rent,little,moderate,1919,9,furniture/equipment,7.5595594960077,1225,1
26,male,2,rent,,,2445,12,car,7.801800401908973,676,1
39,male,3,own,little,moderate,11938,24,vacation/others,9.387481868728596,1521,2
39,male,3,own,little,,6458,18,car,8.77307495131822,1521,2
32,male,2,own,little,moderate,6078,12,car,8.712430973476739,1024,1
30,female,2,own,,little,7721,24,furniture/equipment,8.951699168308815,900,1
35,male,2,own,quite rich,moderate,1410,14,business,7.251344983372214,1225,1
31,male,2,own,moderate,moderate,1449,6,business,7.278628942320682,961,1
23,female,2,rent,little,rich,392,15,education,5.971261839790462,529,1
28,male,1,rent,little,moderate,6260,18,car,8.741935464094144,784,1
25,female,2,own,little,,7855,36,car,8.96890555068972,625,2
35,male,2,own,quite rich,little,1680,12,radio/TV,7.426549072397305,1225,1
47,male,2,own,,,3578,48,radio/TV,8.182559264068665,2209,1
30,female,3,own,,little,7174,42,radio/TV,8.878218658092228,900,2
27,female,2,rent,,little,2132,10,furniture/equipment,7.664815785285735,729,1
23,female,2,own,quite rich,little,4281,33,furniture/equipment,8.361941906144946,529,2
36,male,3,own,quite rich,moderate,2366,12,car,7.768956044538332,1296,1
25,female,2,own,little,little,1835,21,radio/TV,7.51479976048867,625,2
41,female,3,rent,little,,3868,24,car,8.260492856573185,1681,1
24,male,1,rent,little,,1768,12,furniture/equipment,7.477604243197589,576,1
63,male,2,free,little,rich,781,10,car,6.660575149839686,3969,1
27,female,2,rent,,moderate,1924,18,furniture/equipment,7.562161631225652,729,2
30,male,2,own,little,little,2121,12,car,7.659642954564682,900,1
40,male,1,own,little,little,701,12,radio/TV,6.55250788703459,1600,1
30,male,2,own,little,moderate,639,12,repairs,6.459904454377535,900,2
34,male,3,own,little,moderate,1860,12,car,7.528331766707247,1156,1
29,female,2,own,little,little,3499,12,car,8.160232492367689,841,2
24,female,2,own,,moderate,8487,48,car,9.046290859969677,576,1
29,male,2,own,little,little,6887,36,education,8.837390855544697,841,2
27,male,1,own,little,,2708,15,furniture/equipment,7.903965634032166,729,1
47,male,2,free,little,,1984,18,furniture/equipment,7.592870287844818,2209,1
21,female,2,own,moderate,,10144,60,radio/TV,9.224637676677007,441,1
38,female,2,own,,,1240,12,radio/TV,7.122866658599083,1444,1
27,male,2,own,rich,,8613,27,car,9.061027968789174,729,1
66,male,1,own,quite rich,moderate,766,12,radio/TV,6.641182169740591,4356,2
35,male,2,own,,moderate,2728,15,radio/TV,7.911324018963353,1225,1
44,female,1,rent,little,rich,1881,12,radio/TV,7.53955882930103,1936,1
27,male,0,own,rich,rich,709,6,car,6.563855526532128,729,1
30,female,3,own,little,moderate,4795,36,radio/TV,8.475328987317539,900,1
27,male,3,own,little,little,3416,27,radio/TV,8.13622555490846,729,1
22,male,2,own,little,little,2462,18,furniture/equipment,7.808729306744399,484,2
23,female,2,own,little,,2288,21,furniture/equipment,7.735433352499688,529,1
30,male,2,own,moderate,moderate,3566,48,business,8.179199798423086,900,1
39,female,2,own,little,little,860,6,car,6.756932389247553,1521,1
51,female,2,own,moderate,,682,12,car,6.525029657843462,2601,1
28,male,2,own,little,little,5371,36,furniture/equipment,8.58876938990546,784,1
46,male,2,own,rich,,1582,18,radio/TV,7.366445148327599,2116,1
42,male,2,free,moderate,,1346,6,radio/TV,7.204892510204673,1764,1
38,male,2,own,little,,1924,10,radio/TV,7.562161631225652,1444,1
24,male,2,own,little,rich,5848,36,radio/TV,8.673855001429615,576,1
29,female,2,rent,rich,moderate,7758,24,car,8.956479847999912,841,1
36,male,3,rent,moderate,moderate,6967,24,business,8.848939995030118,1296,1
20,female,2,rent,little,little,1282,12,furniture/equipment,7.156176637480615,400,2
48,male,2,own,moderate,little,1288,9,repairs,7.160845906664299,2304,1
45,male,1,own,little,little,339,12,education,5.82600010738045,2025,1
38,male,2,own,moderate,moderate,3512,24,car,8.163940954755008,1444,1
34,male,1,own,,,1898,6,radio/TV,7.5485559791698735,1156,1
36,male,2,own,moderate,,2872,24,radio/TV,7.962763930168115,1296,1
30,female,2,own,little,,1055,18,car,6.961296045910167,900,1
36,male,2,own,quite rich,,1262,15,domestic appliances,7.140453043101158,1296,1
70,male,3,free,little,moderate,7308,10,car,8.896724917497897,4900,1
36,male,2,own,quite rich,,909,36,car,6.812345094177479,1296,1
32,male,2,own,quite rich,,2978,6,furniture/equipment,7.999007213243955,1024,1
33,female,2,own,little,little,1131,18,furniture/equipment,7.030857476116121,1089,2
20,female,2,own,rich,moderate,1577,11,furniture/equipment,7.3632795869630385,400,1
25,female,2,rent,little,,3972,24,furniture/equipment,8.287025025165063,625,1
31,male,2,own,little,moderate,1935,24,business,7.567862605463882,961,2
33,male,2,rent,little,little,950,15,car,6.856461984594587,1089,2
26,female,2,own,little,,763,12,furniture/equipment,6.637258031284457,676,1
34,female,3,own,little,moderate,2064,24,furniture/equipment,7.632401126601453,1156,2
33,male,2,own,little,moderate,1414,8,radio/TV,7.254177846456518,1089,1
26,male,2,own,little,little,3414,21,education,8.135639903354386,676,2
53,female,3,own,,,7485,30,car,8.920656296853728,2809,2
42,male,2,own,little,little,2577,12,furniture/equipment,7.854381210652365,1764,1
52,male,2,own,quite rich,little,338,6,radio/TV,5.823045895483019,2704,1
31,male,3,rent,little,,1963,12,radio/TV,7.582229194276461,961,1
65,male,2,own,little,little,571,21,car,6.3473892096560105,4225,1
28,male,2,own,little,,9572,36,business,9.166597449028265,784,2
30,male,3,own,little,moderate,4455,36,business,8.40178233990491,900,2
40,male,1,own,,little,1647,21,car,7.40671073017764,1600,2
50,male,2,own,rich,,3777,24,furniture/equipment,8.236685322712457,2500,1
36,male,2,own,little,moderate,884,18,car,6.784457062637643,1296,2
31,male,2,own,little,,1360,15,radio/TV,7.215239978730097,961,1
74,female,3,free,little,moderate,5129,9,car,8.542665987389269,5476,2
68,male,0,free,little,moderate,1175,16,car,7.069023426578259,4624,1
20,male,2,own,moderate,little,674,12,radio/TV,6.513230110912307,400,2
33,female,2,own,little,moderate,3244,18,furniture/equipment,8.084562415235304,1089,1
54,male,3,own,rich,,4591,24,business,8.431853144249223,2916,2
34,male,1,free,moderate,moderate,3844,48,business,8.254268770090183,1156,2
36,male,2,own,little,moderate,3915,27,business,8.272570608424903,1296,2
29,male,2,rent,little,,2108,6,radio/TV,7.653494909661253,841,1
21,male,2,rent,moderate,moderate,3031,45,radio/TV,8.016647877057803,441,2
34,female,3,own,little,moderate,1501,9,education,7.313886831633462,1156,2
28,female,2,own,little,,1382,6,radio/TV,7.231287004327616,784,1
27,female,2,rent,moderate,moderate,951,12,furniture/equipment,6.85751406254539,729,2
36,male,2,free,,moderate,2760,24,car,7.9229859587111955,1296,1
40,male,3,own,little,moderate,4297,18,furniture/equipment,8.365672383774996,1600,2
52,male,2,own,quite rich,,936,9,education,6.841615476477592,2704,1
27,male,1,own,little,little,1168,12,car,7.0630481633881725,729,1
26,male,2,own,little,,5117,27,business,8.540323608805092,676,1
21,male,2,rent,little,little,902,12,education,6.804614520062624,441,2
38,male,1,own,little,,1495,12,car,7.309881485824786,1444,1
38,male,3,free,little,little,10623,30,car,9.270776740780011,1444,1
43,male,2,own,little,,1935,12,furniture/equipment,7.567862605463882,1849,1
26,male,2,own,little,moderate,1424,12,domestic appliances,7.261225091971921,676,1
21,male,1,own,little,little,6568,24,business,8.789964651132264,441,1
55,male,2,own,rich,,1413,12,car,7.253470382684528,3025,1
33,male,2,own,,,3074,9,radio/TV,8.03073492409854,1089,1
45,female,1,own,,,3835,36,radio/TV,8.251924713801357,2025,1
50,male,2,own,little,little,5293,27,business,8.574140471857987,2500,2
66,male,3,own,little,rich,1908,30,business,7.553810852008231,4356,2
51,male,2,own,,,3342,36,radio/TV,8.114324709155339,2601,1
39,female,1,own,,moderate,932,6,education,6.837332814685591,1521,1
31,male,2,own,little,little,3104,18,business,8.04044688130311,961,1
23,male,2,own,little,rich,3913,36,radio/TV,8.272059622210412,529,1
24,male,1,rent,little,little,3021,24,furniture/equipment,8.013343181386672,576,1
64,female,2,own,little,,1364,10,car,7.218176838403408,4096,1
26,male,1,own,little,moderate,625,12,radio/TV,6.437751649736401,676,1
23,female,2,rent,,little,1200,12,education,7.090076835776092,529,1
30,male,2,own,little,,707,12,radio/TV,6.561030665896573,900,1
32,male,2,own,,,2978,24,business,7.999007213243955,1024,1
30,male,2,own,little,,4657,15,car,8.446126742982377,900,1
27,male,2,own,little,,2613,36,repairs,7.868254265520613,729,1
27,male,2,own,rich,moderate,10961,48,radio/TV,9.302098797215724,729,2
53,male,3,free,little,little,7865,12,furniture/equipment,8.970177815492379,2809,2
22,male,2,own,little,,1478,9,radio/TV,7.298445101508147,484,2
22,male,2,free,little,little,3149,24,furniture/equipment,8.054840221101024,484,1
26,male,2,own,little,rich,4210,36,radio/TV,8.345217926676428,676,2
51,male,1,free,quite rich,,2507,9,car,7.826842098158293,2601,1
35,male,2,own,moderate,,2141,12,radio/TV,7.669028288589683,1225,1
25,male,1,own,little,moderate,866,18,radio/TV,6.763884908562435,625,1
42,male,1,own,little,,1544,4,radio/TV,7.342131730584722,1764,1
30,male,3,own,little,little,1823,24,radio/TV,7.508238774678663,900,2
23,male,0,own,,moderate,14555,6,car,9.585689856179725,529,2
61,male,1,rent,moderate,moderate,2767,21,business,7.925518979786926,3721,2
35,female,2,own,little,,1291,12,radio/TV,7.1631723908466425,1225,1
39,male,2,own,little,little,2522,30,radio/TV,7.832807516524864,1521,1
29,female,2,own,,little,915,24,car,6.818924065275521,841,2
51,male,2,own,little,,1595,6,radio/TV,7.374629015218945,2601,1
24,male,2,free,little,little,4605,48,car,8.434897948689407,576,2
27,female,2,own,little,,1185,12,business,7.077498053569231,729,1
35,female,1,own,quite rich,,3447,12,education,8.145259566516865,1225,1
25,male,2,own,little,,1258,24,business,7.1372784372603855,625,1
52,male,2,own,little,,717,12,radio/TV,6.57507584059962,2704,1
35,male,2,rent,moderate,,1204,6,car,7.093404625868766,1225,1
26,male,2,own,little,rich,1925,24,furniture/equipment,7.562681246721884,676,1
22,female,2,rent,little,,433,18,radio/TV,6.07073772800249,484,2
39,female,1,own,rich,little,666,6,car,6.501289670540389,1521,1
46,female,1,own,little,rich,2251,12,furniture/equipment,7.719129840906732,2116,1
24,female,2,own,little,moderate,2150,30,car,7.673223121121708,576,2
35,male,2,own,moderate,,4151,24,furniture/equipment,8.33110454805304,1225,1
24,male,2,own,,moderate,2030,9,furniture/equipment,7.615791072035833,576,1
27,male,1,own,,moderate,7418,60,radio/TV,8.911664758049536,729,1
35,male,1,own,little,,2684,24,radio/TV,7.895063498091573,1225,1
29,male,2,free,little,little,2149,12,radio/TV,7.67275789664251,841,2
23,female,2,own,moderate,,3812,15,car,8.245909264774093,529,1
57,female,1,own,moderate,,1154,11,radio/TV,7.050989447068045,3249,1
27,male,2,own,little,little,1657,12,furniture/equipment,7.412764017426562,729,1
55,female,2,own,little,little,1603,24,radio/TV,7.379632152609552,3025,1
36,male,3,free,little,little,5302,18,car,8.57583938684897,1296,1
57,female,1,free,little,,2748,12,education,7.91862865334224,3249,1
32,male,1,own,little,,1231,10,car,7.115582126184454,1024,1
37,male,2,own,little,moderate,802,15,radio/TV,6.687108607866515,1369,2
36,male,2,own,,,6304,36,business,8.748939631537715,1296,1
38,female,2,own,little,,1533,24,radio/TV,7.334981878871814,1444,1
45,male,3,own,little,little,8978,14,car,9.102532419341877,2025,2
25,male,2,own,,,999,24,radio/TV,6.906754778648554,625,1
32,male,2,own,,,2662,18,car,7.886832998955056,1024,1
37,female,2,rent,quite rich,,1402,12,furniture/equipment,7.245655067594535,1369,1
36,male,3,free,,moderate,12169,48,car,9.4066470133368,1296,1
28,male,2,own,little,moderate,3060,48,radio/TV,8.026170194946426,784,2
34,male,1,own,little,little,11998,30,repairs,9.392495248213038,1156,2
32,male,2,own,little,,2697,9,radio/TV,7.89989532313973,1024,1
26,female,2,own,little,,2404,18,radio/TV,7.784889295655098,676,1
49,male,1,own,,little,1262,12,furniture/equipment,7.140453043101158,2401,1
32,female,2,own,little,,4611,6,furniture/equipment,8.436200032206706,1024,2
29,male,3,rent,moderate,,1901,24,radio/TV,7.550135342488429,841,1
23,male,2,rent,rich,,3368,15,car,8.122074375362217,529,1
50,male,2,own,little,,1574,12,furniture/equipment,7.361375428977347,2500,1
49,male,1,own,,rich,1445,18,radio/TV,7.275864600546533,2401,1
63,male,2,own,,,1520,15,furniture/equipment,7.326465613840322,3969,1
37,male,2,own,moderate,moderate,3878,24,car,8.263074835802596,1369,1
35,female,1,own,little,little,10722,47,car,9.280052984387485,1225,1
26,male,2,own,little,little,4788,48,car,8.473868066677865,676,1
31,male,3,free,moderate,moderate,7582,48,vacation/others,8.93353229607628,961,1
49,female,2,own,little,moderate,1092,12,radio/TV,6.9957661563048505,2401,1
48,male,2,own,little,little,1024,24,radio/TV,6.931471805599453,2304,2
26,male,2,own,little,,1076,12,business,6.98100574072173,676,1
28,male,3,rent,little,moderate,9398,36,car,9.14825217966276,784,2
44,female,3,free,little,little,6419,24,car,8.767017621311778,1936,1
56,male,2,free,little,rich,4796,42,car,8.475537516147405,3136,1
46,male,3,own,,,7629,48,business,8.93971205409023,2116,1
26,female,2,own,little,moderate,9960,48,furniture/equipment,9.206332350578643,676,2
20,female,2,rent,,,4675,12,car,8.449984441722787,400,1
45,male,1,own,,,1287,10,car,7.160069207596127,2025,1
43,male,2,own,little,,2515,18,furniture/equipment,7.83002808253384,1849,1
32,male,2,own,rich,moderate,2745,21,furniture/equipment,7.917536353943631,1024,1
54,female,0,own,little,,672,6,car,6.51025834052315,2916,1
42,female,2,own,little,moderate,3804,36,radio/TV,8.24380842366528,1764,2
37,male,1,own,,rich,1344,24,car,7.203405521083095,1369,2
49,male,2,own,little,little,1038,10,car,6.945051063725834,2401,1
44,male,2,free,quite rich,,10127,48,car,9.222960403332284,1936,2
33,male,2,own,rich,,1543,6,furniture/equipment,7.341483852363161,1089,1
24,female,1,rent,,,4811,30,car,8.478660241699453,576,1
33,male,1,own,moderate,little,727,12,radio/TV,6.588926477533519,1089,2
24,female,2,own,little,moderate,1237,8,furniture/equipment,7.120444372392488,576,2
22,male,1,rent,little,moderate,276,9,car,5.62040086571715,484,1
40,male,0,free,,moderate,5381,48,vacation/others,8.59062950948942,1600,1
25,male,2,own,moderate,,5511,24,furniture/equipment,8.614501373883236,625,1
26,female,2,own,little,rich,3749,24,furniture/equipment,8.229244416735913,676,1
25,male,1,own,little,moderate,685,12,car,6.529418838262226,625,2
29,male,1,own,,rich,1494,4,car,7.309212365692763,841,1
31,male,2,own,little,little,2746,36,furniture/equipment,7.917900586327916,961,2
38,male,1,own,little,little,708,12,furniture/equipment,6.56244409369372,1444,1
48,female,1,own,,moderate,4351,24,furniture/equipment,8.37816098272068,2304,1
32,male,2,own,little,,701,12,education,6.55250788703459,1024,1
27,female,1,own,little,little,3643,15,furniture/equipment,8.200562797008564,729,1
28,male,3,own,little,moderate,4249,30,car,8.354438940114811,784,2
32,male,2,own,little,little,1938,24,radio/TV,7.569411792450712,1024,2
34,male,3,free,little,little,2910,24,car,7.975908360165538,1156,1
28,male,2,own,rich,little,2659,18,furniture/equipment,7.88570539124302,784,1
36,female,2,own,little,,1028,18,car,6.93537044601511,1296,1
39,male,1,own,little,little,3398,8,car,8.130942302231878,1521,1
49,male,2,rent,,,5801,12,furniture/equipment,8.665785595466064,2401,1
34,female,2,own,rich,,1525,24,car,7.329749689041512,1156,1
31,male,2,own,little,rich,4473,36,radio/TV,8.405814603432848,961,1
28,male,2,own,little,moderate,1068,6,radio/TV,6.97354301952014,784,1
75,male,3,free,little,little,6615,24,car,8.797095076549056,5625,1
30,female,2,own,moderate,,1864,18,education,7.530479995245536,900,2
24,female,3,own,moderate,moderate,7408,60,car,8.910315776326016,576,2
24,female,1,rent,moderate,,11590,48,car,9.357897936333798,576,2
23,male,2,rent,little,little,4110,24,furniture/equipment,8.32117830749028,529,2
44,male,3,rent,little,little,3384,6,furniture/equipment,8.126813720726114,1936,2
23,female,1,own,little,moderate,2101,13,radio/TV,7.650168700845001,529,1
24,female,2,rent,,little,1275,15,domestic appliances,7.150701457592526,576,2
28,male,2,own,little,little,4169,24,furniture/equipment,8.335431477880796,784,1
31,male,1,own,little,moderate,1521,10,furniture/equipment,7.327123292259293,961,1
24,female,2,free,little,moderate,5743,24,education,8.655737000864297,576,1
26,female,1,rent,little,little,3599,21,furniture/equipment,8.188411308079031,676,1
25,male,2,rent,quite rich,moderate,3213,18,radio/TV,8.074960359115858,625,1
33,male,3,own,little,moderate,4439,18,business,8.398184404834035,1089,1
37,male,1,own,little,rich,3949,10,car,8.28121766128665,1369,1
43,female,1,own,little,,1459,15,radio/TV,7.285506548522785,1849,1
23,male,2,own,little,moderate,882,13,radio/TV,6.782192056006791,529,1
23,female,0,rent,quite rich,moderate,3758,24,radio/TV,8.231642179973411,529,1
34,male,1,own,moderate,,1743,6,business,7.463363045520021,1156,1
32,male,2,free,rich,moderate,1136,9,education,7.035268599281097,1024,2
23,female,2,rent,little,,1236,9,domestic appliances,7.119635638017636,529,1
29,female,2,own,little,moderate,959,9,furniture/equipment,6.865891074883439,841,2
38,male,3,own,,,3229,18,car,8.079927770758275,1444,1
28,male,2,rent,little,little,6199,12,radio/TV,8.73214326770192,784,2
46,male,2,free,quite rich,,727,10,education,6.588926477533519,2116,1
23,male,1,own,little,moderate,1246,24,car,7.127693699347399,529,2
49,male,2,own,,,2331,12,radio/TV,7.754052639035757,2401,1
26,male,3,own,little,,4463,36,radio/TV,8.40357646462927,676,2
28,male,2,own,little,,776,12,radio/TV,6.654152520183219,784,1
23,female,2,rent,little,little,2406,30,furniture/equipment,7.785720896534624,529,2
61,male,2,free,,moderate,1239,18,education,7.122059881629142,3721,1
37,male,3,own,,rich,3399,12,radio/TV,8.131236549696116,1369,1
36,female,2,own,little,rich,2247,12,car,7.717351272185329,1296,1
21,male,2,rent,little,,1766,6,furniture/equipment,7.476472381163905,441,1
25,male,0,own,little,little,2473,18,furniture/equipment,7.813187267521416,625,2
36,male,2,own,little,,1542,12,business,7.340835554123275,1296,1
27,male,2,own,little,,3850,18,car,8.25582842728183,729,1
22,female,2,rent,little,little,3650,18,furniture/equipment,8.202482446576537,484,1
42,male,2,own,little,little,3446,36,furniture/equipment,8.144969417087875,1764,2
40,female,2,rent,little,moderate,3001,18,furniture/equipment,8.006700845440367,1600,1
36,male,2,own,,,3079,36,car,8.0323601479245,1296,1
33,male,2,own,little,,6070,18,radio/TV,8.711113884053544,1089,1
23,female,2,rent,little,,2146,10,furniture/equipment,7.671360923190644,529,1
63,male,3,free,,,13756,60,car,9.529230371552156,3969,1
60,female,3,free,moderate,moderate,14782,60,vacation/others,9.601165503344832,3600,2
37,female,2,rent,little,little,7685,48,business,8.947025655972697,1369,2
34,male,2,own,little,,2320,18,radio/TV,7.749322464660356,1156,1
36,male,2,free,,,846,7,radio/TV,6.740519359606223,1296,1
57,male,3,free,little,moderate,14318,36,car,9.56927276595613,3249,2
52,female,1,own,moderate,,362,6,car,5.891644211825772,2704,1
39,male,2,own,,little,2212,20,furniture/equipment,7.701652362642226,1521,1
38,female,3,free,little,moderate,12976,18,car,9.470856776355197,1444,2
25,female,2,rent,,,1283,22,car,7.1569563646156364,625,1
26,male,2,own,little,rich,1330,12,car,7.1929342212158,676,1
26,male,1,own,moderate,,4272,30,business,8.35983738064003,676,1
25,female,2,own,little,,2238,18,radio/TV,7.71333788887187,625,1
21,female,2,rent,,,1126,18,radio/TV,7.026426808699636,441,1
40,male,3,own,little,moderate,7374,18,furniture/equipment,8.90571557879409,1600,1
27,male,2,own,quite rich,moderate,2326,15,business,7.75190533307861,729,1
27,female,2,own,little,,1449,9,business,7.278628942320682,729,1
30,male,3,own,little,,1820,18,car,7.506591780070841,900,1
19,female,1,rent,rich,moderate,983,12,furniture/equipment,6.890609120147166,361,1
39,male,3,free,little,little,3249,36,car,8.0861025356691,1521,1
31,female,2,own,little,little,1957,6,radio/TV,7.579167967396076,961,1
31,male,3,own,little,,2406,9,furniture/equipment,7.785720896534624,961,1
32,male,2,rent,moderate,moderate,11760,39,education,9.372459221452615,1024,1
55,female,3,free,little,little,2578,12,furniture/equipment,7.8547691834991324,3025,1
46,male,2,own,little,little,2348,36,furniture/equipment,7.761319180947987,2116,1
46,male,2,rent,little,moderate,1223,12,car,7.109062135687172,2116,2
43,female,1,own,rich,,1516,24,radio/TV,7.323830566202317,1849,1
